===============================================================
Gobuster v3.5
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     https://www.geeksforgeeks.org/
[+] Method:                  GET
[+] Threads:                 20
[+] Wordlist:                /home/kali/Downloads/SecLists-master/Discovery/Web-Content/common.txt
[+] Negative Status codes:   301,404
[+] User Agent:              gobuster/3.5
[+] Expanded:                true
[+] Timeout:                 10s
===============================================================
2023/08/27 08:42:53 Starting gobuster in directory enumeration mode
===============================================================
[2Khttps://www.geeksforgeeks.org/.git/config          (Status: 403) [Size: 71]
[2Khttps://www.geeksforgeeks.org/.git/logs/           (Status: 403) [Size: 71]
[2Khttps://www.geeksforgeeks.org/.git/HEAD            (Status: 403) [Size: 71]
[2Khttps://www.geeksforgeeks.org/.git/index           (Status: 403) [Size: 71]
[2Khttps://www.geeksforgeeks.org/.hta                 (Status: 403) [Size: 71]
[2Khttps://www.geeksforgeeks.org/.htpasswd            (Status: 403) [Size: 71]
[2Khttps://www.geeksforgeeks.org/.htaccess            (Status: 403) [Size: 71]
[2Khttps://www.geeksforgeeks.org/acp                  (Status: 403) [Size: 273]
[2Khttps://www.geeksforgeeks.org/action               (Status: 403) [Size: 276]
[2Khttps://www.geeksforgeeks.org/activate             (Status: 403) [Size: 278]
[2Khttps://www.geeksforgeeks.org/act                  (Status: 403) [Size: 273]
[2Khttps://www.geeksforgeeks.org/activeCollab         (Status: 403) [Size: 282]
[2Khttps://www.geeksforgeeks.org/actions              (Status: 403) [Size: 277]
[2Khttps://www.geeksforgeeks.org/active               (Status: 403) [Size: 276]
[2Khttps://www.geeksforgeeks.org/activex              (Status: 403) [Size: 277]
[2Khttps://www.geeksforgeeks.org/activities           (Status: 403) [Size: 280]
[2Khttps://www.geeksforgeeks.org/ad                   (Status: 403) [Size: 272]
[2Khttps://www.geeksforgeeks.org/activity             (Status: 403) [Size: 278]
[2Khttps://www.geeksforgeeks.org/adclick              (Status: 403) [Size: 277]
[2Khttps://www.geeksforgeeks.org/add_cart             (Status: 403) [Size: 282]
[2Khttps://www.geeksforgeeks.org/ad_js                (Status: 403) [Size: 279]
[2Khttps://www.geeksforgeeks.org/add                  (Status: 403) [Size: 273]
[2Khttps://www.geeksforgeeks.org/adaptive             (Status: 403) [Size: 278]
[2Khttps://www.geeksforgeeks.org/addons               (Status: 403) [Size: 276]
[2Khttps://www.geeksforgeeks.org/addnews              (Status: 403) [Size: 277]
[2Khttps://www.geeksforgeeks.org/addreply             (Status: 403) [Size: 278]
[2Khttps://www.geeksforgeeks.org/address              (Status: 403) [Size: 277]
[2Khttps://www.geeksforgeeks.org/adlog                (Status: 403) [Size: 275]
[2Khttps://www.geeksforgeeks.org/adlogger             (Status: 403) [Size: 278]
[2Khttps://www.geeksforgeeks.org/admin-console        (Status: 403) [Size: 287]
[2Khttps://www.geeksforgeeks.org/admin                (Status: 403) [Size: 275]
[2Khttps://www.geeksforgeeks.org/admin-interface      (Status: 403) [Size: 289]
[2Khttps://www.geeksforgeeks.org/admin2               (Status: 403) [Size: 276]
