===============================================================
Gobuster v3.5
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     https://www.geeksforgeeks.org/backups
[+] Method:                  GET
[+] Threads:                 20
[+] Wordlist:                /home/kali/Downloads/SecLists-master/Discovery/Web-Content/common.txt
[+] Negative Status codes:   301,404
[+] Exclude Length:          335,334
[+] User Agent:              gobuster/3.5
[+] Extensions:              txt
[+] Expanded:                true
[+] Timeout:                 10s
===============================================================
2023/08/27 08:48:48 Starting gobuster in directory enumeration mode
===============================================================
[2Khttps://www.geeksforgeeks.org/backups/.config.txt          (Status: 403) [Size: 301]
[2Khttps://www.geeksforgeeks.org/backups/.forward.txt         (Status: 403) [Size: 302]
[2Khttps://www.geeksforgeeks.org/backups/.bash_history.txt    (Status: 403) [Size: 311]
[2Khttps://www.geeksforgeeks.org/backups/.config              (Status: 403) [Size: 293]
[2Khttps://www.geeksforgeeks.org/backups/.cvs.txt             (Status: 403) [Size: 298]
[2Khttps://www.geeksforgeeks.org/backups/.cvsignore           (Status: 403) [Size: 296]
[2Khttps://www.geeksforgeeks.org/backups/.git-rewrite         (Status: 403) [Size: 302]
[2Khttps://www.geeksforgeeks.org/backups/.cache.txt           (Status: 403) [Size: 300]
[2Khttps://www.geeksforgeeks.org/backups/.bashrc              (Status: 403) [Size: 293]
[2Khttps://www.geeksforgeeks.org/backups/.cvs                 (Status: 403) [Size: 290]
[2Khttps://www.geeksforgeeks.org/backups/.forward             (Status: 403) [Size: 294]
[2Khttps://www.geeksforgeeks.org/backups/.git/HEAD.txt        (Status: 403) [Size: 307]
[2Khttps://www.geeksforgeeks.org/backups/.cache               (Status: 403) [Size: 292]
[2Khttps://www.geeksforgeeks.org/backups/.bashrc.txt          (Status: 403) [Size: 301]
[2Khttps://www.geeksforgeeks.org/backups/.git-rewrite.txt     (Status: 403) [Size: 310]
[2Khttps://www.geeksforgeeks.org/backups/.git                 (Status: 403) [Size: 290]
[2Khttps://www.geeksforgeeks.org/backups/.git.txt             (Status: 403) [Size: 298]
[2Khttps://www.geeksforgeeks.org/backups/.bash_history        (Status: 403) [Size: 303]
[2Khttps://www.geeksforgeeks.org/backups/.cvsignore.txt       (Status: 403) [Size: 304]
[2Khttps://www.geeksforgeeks.org/backups/.git/HEAD            (Status: 403) [Size: 299]
[2Khttps://www.geeksforgeeks.org/backups/.git/index           (Status: 403) [Size: 300]
[2Khttps://www.geeksforgeeks.org/backups/.git/config          (Status: 403) [Size: 301]
[2Khttps://www.geeksforgeeks.org/backups/.git/index.txt       (Status: 403) [Size: 308]
[2Khttps://www.geeksforgeeks.org/backups/.git/logs/           (Status: 403) [Size: 305]
[2Khttps://www.geeksforgeeks.org/backups/.git_release.txt     (Status: 403) [Size: 310]
[2Khttps://www.geeksforgeeks.org/backups/.git/logs/.txt       (Status: 403) [Size: 312]
[2Khttps://www.geeksforgeeks.org/backups/.gitconfig           (Status: 403) [Size: 297]
[2Khttps://www.geeksforgeeks.org/backups/.gitattributes.txt   (Status: 403) [Size: 309]
[2Khttps://www.geeksforgeeks.org/backups/.gitconfig.txt       (Status: 403) [Size: 305]
[2Khttps://www.geeksforgeeks.org/backups/.git_release         (Status: 403) [Size: 302]
[2Khttps://www.geeksforgeeks.org/backups/.gitattributes       (Status: 403) [Size: 301]
[2Khttps://www.geeksforgeeks.org/backups/.git/config.txt      (Status: 403) [Size: 309]
[2Khttps://www.geeksforgeeks.org/backups/.gitignore.txt       (Status: 403) [Size: 305]
[2Khttps://www.geeksforgeeks.org/backups/.gitkeep.txt         (Status: 403) [Size: 303]
[2Khttps://www.geeksforgeeks.org/backups/.gitk.txt            (Status: 403) [Size: 300]
[2Khttps://www.geeksforgeeks.org/backups/.gitkeep             (Status: 403) [Size: 294]
